"household id","person id","trip id","pirpose","mode","total travel time","income","travel cost"
"368","2","1","0","1","1155.2","1125","618.857"
"405","2","2","0","3","2230.5","745","791.296"
"449","1","4","0","2","1463.1000000000001","1218","848.598"
"453","1","1","0","2","79.9","545","20.736"
"664","3","1","0","3","1274.6","545","330.789"
"738","2","1","0","3","1244.2","1518","899.379"
"742","1","1","0","11","214.7","1125","115.018"
"742","2","1","0","2","214.7","745","76.167"
"751","2","3","0","3","1330.4","745","471.975"
"756","2","2","0","2","239.1","1218","138.678"
"763","1","2","0","2","170.3","1125","91.232"
"763","4","2","0","11","170.3","0","0.000"
"779","2","1","0","3","844.3","545","219.116"
"788","1","1","0","2","87.1","1891","78.431"
"791","1","1","0","2","197.8","1891","178.114"
"855","1","2","0","1","1421.2","745","504.188"
"880","1","2","0","2","157.9","358","26.918"
"880","2","2","0","11","157.9","745","56.017"
"926","1","1","0","2","133.3","222","14.092"
"928","3","1","0","3","194.7","1218","112.926"
"998","1","2","0","2","93.0","1125","49.821"
"1000","1","1","0","2","205.6","1218","119.248"
"1008","1","2","0","2","132.3","545","34.335"
"1017","2","1","0","3","186.5","1125","99.911"
"946","2","2","0","3","967.6","7847","3615.599"
"1009","1","2","0","1","1884.0","745","668.371"
"967","3","2","0","1","1129.3","7847","4219.818"
"283","2","2","0","3","879.9","7847","3287.893"
"441","2","1","0","1","236.3","745","83.830"
"454","1","1","0","2","246.5","1218","142.970"
"647","2","2","0","3","513.7","1518","371.332"
"672","2","2","0","3","511.9","1518","370.031"
"754","20","1","0","11","233.2","0","0.000"
"803","1","2","0","2","428.9","1891","386.214"
"857","1","4","0","1","532.3","7847","1989.028"
"897","1","1","0","1","1672.8","745","593.446"
"914","1","1","0","2","451.3","1891","406.385"
"711","1","3","0","1","237.8","1125","127.393"
"697","1","2","0","2","1468.9","1891","1322.709"
"283","1","1","0","1","61.0","1218","35.380"
"372","3","1","0","3","397.1","945","178.695"
"509","1","2","0","2","125.2","358","21.344"
"647","1","1","0","1","61.0","745","21.640"
"648","1","2","0","2","387.9","545","100.669"
"1014","4","1","0","11","141.3","1218","81.954"
"281","2","1","0","3","871.1","945","391.995"
