O_Tz06,O_Sla06,O_Lga06,O_Ssd06,O_Sd06,O_State,D_Tz06,D_Sla06,D_Lga06,D_Ssd06,D_Sd06,D_Area,O_Zone06_abs,Dzn06_abs,Mode9,Freq,source not in tz,destination in tz,
235,7206,7200,505,5,0,521,6550,6550,510,5,1,1172060235,1165500521,7,1,#N/A,521,#N/A
235,7206,7200,505,5,0,523,6550,6550,510,5,1,1172060235,1165500523,7,1,#N/A,523,#N/A
486,8050,8050,510,5,0,527,6550,6550,510,5,1,1180500486,1165500527,7,3,486,527,#N/A
491,8050,8050,510,5,0,520,6550,6550,510,5,1,1180500491,1165500520,7,3,491,520,#N/A
493,8050,8050,510,5,0,553,6550,6550,510,5,1,1180500493,1165500553,7,3,#N/A,553,#N/A
495,8050,8050,510,5,0,520,6550,6550,510,5,1,1180500495,1165500520,7,3,495,520,#N/A
496,8050,8050,510,5,0,554,6550,6550,510,5,1,1180500496,1165500554,7,3,496,554,#N/A
2392,8250,8250,555,5,0,521,6550,6550,510,5,1,1182502392,1165500521,7,3,#N/A,521,#N/A
3626,8454,8450,1505,15,0,283,7205,7200,505,5,1,1184543626,1172050283,7,3,#N/A,283,#N/A
443,8500,8500,510,5,0,511,6550,6550,510,5,1,1185000443,1165500511,7,3,#N/A,511,#N/A
443,8500,8500,510,5,0,278,7205,7200,505,5,1,1185000443,1172050278,7,4,#N/A,278,#N/A
444,8500,8500,510,5,0,279,7205,7200,505,5,1,1185000444,1172050279,7,3,#N/A,279,#N/A
447,8500,8500,510,5,0,527,6550,6550,510,5,1,1185000447,1165500527,7,3,#N/A,527,#N/A
452,8500,8500,510,5,0,279,7205,7200,505,5,1,1185000452,1172050279,7,3,#N/A,279,#N/A
457,8500,8500,510,5,0,277,7205,7200,505,5,1,1185000457,1172050277,7,3,457,277,#N/A
3168,8551,8550,570,5,0,515,6550,6550,510,5,1,1185513168,1165500515,7,1,#N/A,515,#N/A
3168,8551,8550,570,5,0,521,6550,6550,510,5,1,1185513168,1165500521,7,1,#N/A,521,#N/A
3168,8551,8550,570,5,0,523,6550,6550,510,5,1,1185513168,1165500523,7,1,#N/A,523,#N/A
1531,150,150,535,5,0,520,6550,6550,510,5,1,1101501531,1165500520,6,4,#N/A,520,#N/A
1536,150,150,535,5,0,520,6550,6550,510,5,1,1101501536,1165500520,6,3,#N/A,520,#N/A
1536,150,150,535,5,0,270,7205,7200,505,5,1,1101501536,1172050270,6,3,#N/A,270,#N/A
1541,150,150,535,5,0,277,7205,7200,505,5,1,1101501541,1172050277,6,3,#N/A,277,#N/A
871,351,350,520,5,0,510,6550,6550,510,5,1,1103510871,1165500510,6,3,#N/A,510,#N/A
877,351,350,520,5,0,283,7205,7200,505,5,1,1103510877,1172050283,6,3,#N/A,283,#N/A
878,351,350,520,5,0,287,7205,7200,505,5,1,1103510878,1172050287,6,1,#N/A,287,#N/A
2811,503,500,560,5,0,292,7205,7200,505,5,1,1105032811,1172050292,6,3,#N/A,292,#N/A
2690,505,500,560,5,0,525,6550,6550,510,5,1,1105052690,1165500525,6,4,#N/A,525,#N/A
2245,751,750,553,5,0,278,7205,7200,505,5,1,1107512245,1172050278,6,3,#N/A,278,#N/A
2155,753,750,553,5,0,520,6550,6550,510,5,1,1107532155,1165500520,6,3,#N/A,520,#N/A
405,1100,1100,505,5,0,525,6550,6550,510,5,1,1111000405,1165500525,6,4,405,525,#N/A
405,1100,1100,505,5,0,277,7205,7200,505,5,1,1111000405,1172050277,6,1,405,277,#N/A
405,1100,1100,505,5,0,278,7205,7200,505,5,1,1111000405,1172050278,6,3,405,278,#N/A
405,1100,1100,505,5,0,283,7205,7200,505,5,1,1111000405,1172050283,6,1,405,283,#N/A
405,1100,1100,505,5,0,287,7205,7200,505,5,1,1111000405,1172050287,6,5,405,287,#N/A
406,1100,1100,505,5,0,556,6550,6550,510,5,1,1111000406,1165500556,6,4,#N/A,556,#N/A
406,1100,1100,505,5,0,277,7205,7200,505,5,1,1111000406,1172050277,6,1,#N/A,277,#N/A
406,1100,1100,505,5,0,287,7205,7200,505,5,1,1111000406,1172050287,6,3,#N/A,287,#N/A
