ID,activity_id,NAME,SUBURB,X,Y,TYPE,hotspotID,near_bus,near_train,note,travel_zone,note_entry
258,86451,Maroubra_ Maroubra Rd nr Malabar Rd,None,338503,6242984,Bus station,316,1,1,BUS_STOP,539,0
259,86452,Maroubra_ Garden St nr Gale Rd,None,337532,6243208,Bus station,318,1,1,BUS_STOP,538,0
260,86453,Maroubra_ Garden St nr Gale Rd,None,337551,6243244,Bus station,318,1,1,BUS_STOP,538,0
261,86454,Maroubra_ Maroubra Rd nr Garden St,None,337540,6242873,Bus station,322,1,1,BUS_STOP,537,0
262,86455,Maroubra_ Anzac Pde nr Maroubra Rd,None,337326,6242856,Bus station,322,1,1,BUS_STOP,537,0
263,86456,Maroubra_ Maroubra Rd nr Anzac Pde,None,337403,6242894,Bus station,322,1,1,BUS_STOP,537,0
264,86457,Maroubra_ Maroubra Rd nr Garden St,None,337472,6242906,Bus station,322,1,1,BUS_STOP,537,0
265,86458,Maroubra_ Maroubra Rd nr Anzac Pde,None,337213,6242920,Bus station,322,1,1,BUS_STOP,537,0
266,86459,Maroubra_ Maroubra Rd nr Anzac Pde,None,337246,6242939,Bus station,322,1,1,BUS_STOP,537,0
267,86460,Maroubra Junction_ Maroubra Rd nr Anzac Pde,None,337235,6242918,Bus station,322,1,1,BUS_STOP,537,0
268,86461,Maroubra_ Garden St nr Maroubra Rd,None,337502,6242917,Bus station,322,1,1,BUS_STOP,538,0
269,86462,Maroubra_ Anzac Pde nr Picadilly Pl,None,337243,6242998,Bus station,322,1,1,BUS_STOP,537,0
270,86463,Maroubra_ Anzac Pde nr Green St,None,337287,6243031,Bus station,322,1,1,BUS_STOP,537,0
271,86464,Maroubra_ Anzac Pde nr Boyce Rd,None,337225,6243064,Bus station,322,1,1,BUS_STOP,537,0
272,86465,Maroubra_ Bunnerong Rd nr Kingsford St,None,336242,6242946,Bus station,323,1,1,BUS_STOP,540,0
273,86466,Maroubra_ Maroubra Rd nr Bunnerong Rd,None,336334,6243051,Bus station,323,1,1,BUS_STOP,540,0
274,86467,Maroubra_ Maroubra Rd nr Bunnerong Rd,None,336398,6243064,Bus station,323,1,1,BUS_STOP,540,0
